pID,pname,alcdegree,volume,ingredient,pcompany,pprice,pperson,pcategory,pdesc,pstock,imgpath
312,명인 홍삼주,12.5,375ml,"쌀, 홍삼, 누룩, 정제수 등",금산인삼주,12500,친구,,,5,
313,"코이버펑크, 머스캣 베일리 에이 2017",12.5,750ml,머스캣 벨일리 베이 포도품종 100% (경북 영천),코이버펑크,12500,친구,,,5,
314,"코이버펑크, 카베르네 소비뇽 2019",12.5,750ml,카베르네 소비뇽 포도품종 100% (경북 영천),코이버펑크,12500,친구,,,5,
315,동학 1957,13,"375ml, 700ml","국내산 쌀, 구연산, 효모, 젖산, 정제효소제, 국, 주정, 정제수",고헌정영농조합법인,13000,친구,,,5,
316,대윤 가야곡 왕주,13,300ml,"쌀, 누룩, 효모, 물엿, 정제수",대윤가야곡주조,13000,친구,,,5,
317,감자술 13%,13,700ml,"국내산 백미, 국내산 감자, 누룩, 효모, 정제수",오대서주양조,13000,친구,,,5,
318,지리산 강쇠,13,375ml,"정제수, 쌀, 누룩, 오가피, 산수유, 오미자, 정백당 ,구연산, 정제효소, 야관문",농업회사법인(유)술소리,13000,친구,,,5,
319,라이스퐁당,13,500ml,"정제수, 찹쌀, 누룩, 삼지구엽초, 감초",벗드림양조장,13000,친구,,,5,
320,백운복분자주,13,360ml,"국내산 쌀, 국내산 복분자",백운주가,13000,친구,,,5,
321,세종대왕어주 탁주,13,500ml,"쌀(국내산), 누룩, 정제수",장희,13000,친구,,,5,
322,세종 오가닉,13,375ml,"정제수, 유기농 백미, 국, 효모, 정제효소, 구연산",조은술 세종,13000,친구,,,5,
323,모을동주 약주,13,375ml,"쌀(국내산), 조제종국 효모, 정제효소, 정제수",대작영농조합법인,13000,친구,,,5,
324,솔송주,13,375ml,"백미(국내산) 90%, 솔잎·송순(국내산) 10%",솔송주,13000,친구,,,5,
325,김포예주,13,750ml,"국내산 쌀, 옥전분",김포양조,13000,친구,,,5,
326,황진이주,13,375ml,"국내산 오미자, 국내산 산수유",농업회사법인(유)술소리,13000,친구,,,5,
327,만품 산삼가득,13,350ml,"국내산쌀(경기미), 국내 산양산삼",대농바이오우리산삼,13000,친구,,,5,
328,민들레대포,13,330ml,"쌀, 누룩, 민들레",배상면주가,13000,친구,,,5,
329,가야곡왕주,13,750ml,"쌀, 야생 국화, 구기자, 오미자, 솔잎, 매실",민속주왕주,13000,친구,,,5,
330,오메기술,13,375ml,"백미(국내산), 차조(국내산), 입국(국내산), 누룩, 효모",제주샘주,13000,친구,,,5,
331,모월 연,13,500ml,"국내산 쌀, 밀누룩(국산)",모월,13000,친구,,,5,
332,백세주,13,375ml,"설갱미, 전통누룩, 구기자, 오미자, 홍삼, 산수유, 진피, 백문동, 백수오, 산사, 건강, 고수, 감초, 수국",국순당,13000,친구,,,5,
333,석로주,13,720ml,"국내산 쌀, 석이버섯, 누룩, 효모, 정제수",석이원주조,13000,친구,,,5,
334,김포별주,13,500ml,"쌀, 옥수수 전분, 국, 효모, 젖산, 효소제, 정제수",김포양조,13000,친구,,,5,
335,김포예주 프리미엄,13,750ml,"국내산 쌀, 국, 효모, 젖산, 정제수",김포양조,13000,친구,,,5,
336,송이주,13,375ml,"국내산 쌀, 송이농축액, 누룩, 정제수",내국양조,13000,친구,,,5,
337,,,,,,,,,,,
338,우곡주,13,375ml,쌀,배혜정도가,13000,친구,,,5,
339,문희 탁주,13,700ml,국내산 쌀,문경주조,13000,친구,,,5,
340,예화,13,750ml,"쌀, 누룩, 효모, 물엿, 정제수",농업회사법인 대윤가야곡주조(주),13000,친구,,,5,
341,샤토미소 레드 드라이,13,750ml,"MBA, 산머루, 캠벨 얼리",도란원,13000,친구,,,5,
342,고창선운산 땡큐블루베리주,13,300ml,"블루베리과실, 주정, 효모, 구연산, 정제수",고창선운산,13000,친구,,,5,
343,고창선운산 땡큐복분자주,13,300ml,"복분자과실, 주정, 효모, 구연산, 정제수",고창선운산,13000,친구,,,5,
344,부안참뽕와인,13,750ml,"정제수, 오디(국내산), 주정, 과당",동진주조,13000,친구,,,5,
345,레드듀 RED DEW,13,750ml,무농약머루,동강산머루영농조합법인,13000,친구,,,5,
346,명작복분자,13,375ml,복분자,국순당고창명주(주0,13000,친구,,,5,
347,산막생대덕주,13,750ml,"국내산 찹쌀, 누룩",신탄진주조,13000,친구,,,5,
348,천안연미주,13,375ml,국내산 쌀,입장주조㈜,13000,친구,,,5,
349,오디랑,13,330ml,"오디(국산) 18.2%, 정제수, 과당, 주정, 구연산, 효모",국순당 고창명주,13000,친구,,,5,
350,예밀와인 레드 드라이,13,750ml,포도(캠벨얼리),예밀2리영농조합법인,13000,친구,,,5,
351,선운산 복분자와인,13,300ml,"복분자(고창산), 구연산, 과당, 아스파탐, 주정, 정제수",(주)선운산복분자주 흥진,13000,친구,,,5,
352,샹스프랑보아즈,13,500ml,"복분자(고창산), 구연산, 과당, 구연산, 아스파탐, 주정, 정제수",(주)선운산복분자주 흥진,13000,친구,,,5,
353,젤코바 캠벨와인,13.5,750ml,"유기농 캠벨포도, 유기농 설탕",젤코바와이너리,13500,친구,,,5,
354,밤꽃향기,13.5,375ml,"국내산 쌀, 밤, 누룩, 정제수",사곡양조장,13500,친구,,,5,
355,머루드 서 드라이,13.5,750ml,국내산 산머루,산머루농원,13500,친구,,,5,
356,구기홍주 14,14,"360ml, 750ml","국내산 쌀, 국, 구기자추출액, 올리고당, 효모, 효소, 아세설팜칼륨, 정제수",두이술공방,14000,친구,,,5,
357,그리움,14,700ml,"국내산 쌀, 누룩, 효모, 정제수",술샘,14000,친구,,,5,
358,천비향 오양주 탁주,14,500ml,"국내산쌀, 누룩",좋은술,14000,친구,,,5,
359,조선주조사,14,"300ml, 700ml","쌀(국내산), 입국, 누룩, 주정, 정제수",농업회사법인 우포의아침(주),14000,친구,,,5,
360,홍삼명주,14,"375ml, 500ml, 750ml",홍삼(국내산),자연과 인삼,14000,친구,,,5,
361,율무 동동주,14,750ml,"쌀(국내산), 누룩, 효모, 연천 율무, 정제수",농업회사법인 연천양조㈜,14000,친구,,,5,
362,매실향기 담은 술,14,500ml,"국내산 쌀, 효모, 조효소재, 물엿, 아스파탐, 정제수",명세주가,14000,친구,,,5,
363,남산애 레드와인,14,750ml,"포도(캠벨얼리, MBA, 산머루)",예인화원,14000,친구,,,5,
364,유기농이도 14,14,750ml,"물, 유기농쌀(국내산),국[유기농쌀(국내산)], 우리밀누룩(국내산)",조은술 세종,14000,친구,,,5,
365,복단지,14,375ml,"쌀(국내산), 복분자(국내산), 누룩(국내산 밀함유)",술아원,14000,친구,,,5,
366,양촌 우렁이쌀 청주,14,500ml,"국내산 찹쌀, 국내산쌀, 입국, 효모, 종국",양촌양조,14000,친구,,,5,
367,배꽃 필 무렵,14,20ml / 140ml,"맵쌀, 잣잎추출물",예술주조,14000,친구,,,5,
368,양지백주,15,500ml,"국내산 쌀, 누룩, 효모, 정제수",양지술곳간,15000,친구,,,5,
369,대통대잎술,15,700ml,"쌀, 누룩, 갈근, 구기자, 솔잎, 진피 등",추성고을,15000,친구,,,5,
370,녹파주,15,375ml,"국내산 찹쌀, 멥쌀, 누룩, 정제수",솔송주(명가원),15000,친구,,,5,
371,기다림 맑은술,15,500ml,"국내산 멥쌀, 국내산 찹쌀, 곡자, 정제수",제이케이크래프트,15000,친구,,,5,
372,순향주,15,375ml,"쌀, 누룩, 정제수",추연당,15000,친구,,,5,
373,희양산 막걸리 15도,15,500ml,"정제수, 쌀(국내산), 누룩(국내산), 효모",두술도가,15000,친구,,,5,
374,석탄주 탁주,15,500ml,"국내산 찹쌀, 누룩, 정제수",케이소주,15000,친구,,,5,
375,바랑 탁,15,375ml,"국내산 찹쌀, 국내산 멥쌀, 누룩, 소맥분, 정제수",금계당,15000,친구,,,5,
376,방문주 탁주,15,500ml,"국내산 찹쌀, 누룩, 정제수",케이소주,15000,친구,,,5,
377,원매,15,750ml,"매실원주액, 매실청, 꿀, 카라멜, 효소처리스테비아, 정제수",더한주류,15000,친구,,,5,
378,정고집 나주배 약주 15%,15,500ml,"쌀, 쌀가루(국내산), 배착즙액(나주산), 정제효소제, 종국, 젖산, 효모",남도탁주,15000,친구,,,5,
379,애석,15,500ml,"국내산쌀, 누룩, 정제수",농업회사법인 (주)두루,15000,친구,,,5,
380,석탄주 약주,15,500ml,"국내산 찹쌀, 누룩, 정제수",케이소주(전주가양주연구소),15000,친구,,,5,
381,모든날에,15,500ml,"정제수48.8%, 찹쌀(국내산, 39%), 멥쌀(국내산, 7.8%), 밀누룩4.4%",양지술곳간,15000,친구,,,5,
382,보성 강하주,15,350ml,국내산 찹쌀100%,보성강하주,15000,친구,,,5,
383,자희향 국화주,15,375ml,국내산 쌀,자희자양,15000,친구,,,5,
384,방문주 약주,15,500ml,"국내산 찹쌀, 누룩, 정제수",케이소주,15000,친구,,,5,
385,맑은술 해밀,15,500ml,"쌀, 누룩, 정제수",내변산양조장,15000,친구,,,5,
386,맑은바당,15,375ml,"쌀(국내산), 국(밀누룩)",술도가 제주바당,15000,친구,,,5,
387,풍정사계 춘(春),15,500ml,"찹쌀, 향온곡",화양,15000,친구,,,5,
388,삼양춘 청주,15,500ml,"정제수, 찹쌀, 맵쌀, 누룩",삼양춘,15000,친구,,,5,
389,세종대왕어주 약주,15,500ml,"쌀, 누룩 정제수",,15000,친구,,,5,
390,삼양춘 생약주,15,500ml,"강화섬쌀, 전통누룩, 정제수",삼양춘,15000,친구,,,5,
391,미인약주,15,500ml,"찹쌀, 누룩, 정제수",최행숙전통주가,15000,친구,,,5,
392,공주애 오디와인,15,375ml,"국내산 오디, 정제수, 주정, 과당, 효모",사곡양조원,15000,친구,,,5,
393,도원결의,15,375ml,"정제수, 쌀, 복숭아, 조효소제, 효모, 젖산, 정제효소제, 효소처리스테비아, 구연산, 복숭아향",농업회사법인영덕주조,15000,친구,,,5,
394,고창선운산 복분자주 특1호,15,1800ml,"복분자과실, 주정, 효모, 구연산, 정제수",고창선운산,15000,친구,,,5,
395,예주,15,750ml,"복분자, 주정, 효모, 정제수",용두산조은술,15000,친구,,,5,
396,당당하리,15,375ml,"쌀(국산), 홍마늘(국산), 감초(국산), 효모, 개량누룩, 정제효소제, 정제수, 복분자(국산), 설탕, 올리고당, DL-사과산, 구연산, 무수이황산",농업회사법인(주)세찬,15000,친구,,,5,
397,마주 소곡주,16,500ml,"국내산 찹쌀, 국내산 백미, 모싯잎, 우리밀 누룩, 정제수, 효모",옥순가 소곡주 마주,16000,친구,,,5,
398,여민락주,16,500ml,"국내산 쌀, 누룩, 효모, 정제수",여주육묘영농조합법인,16000,친구,,,5,
399,어우야,16,365ml,"야관문(제주산), 정제수, 포도당, 효모",왕지케양조장,16000,친구,,,5,
400,산내울 사과애주,16,750ml,"사과, 설탕, 주정, 정제수, 과당",거창사과원예농협,16000,친구,,,5,
401,산내울 복분자주,16,750ml,"복분자, 설탕, 주정, 정제수, 과당",거창사과원예농협,16000,친구,,,5,
402,르깔롱,16,500ml,"정제수, 주정, 고과당, 죽력, 메론후레바, 레이지라임, 코코넛향, 윌튼스카이아이싱칼라",추성고을,16000,친구,,,5,
403,녹고의 눈물,16,500ml,섬오가피,토향,16000,친구,,,5,
404,"동백꽃, 제주",16,365ml,"동백꽃잎, 정제수, 포도당 효모",제주본초협동조합 왕지케양조장,16000,친구,,,5,
405,꿀샘 16,16,375ml,"정제수, 주정, 설탕, 천연꿀, 생강, 구연산",농업회사법인 주식회사 술샘,16000,친구,,,5,
406,티나(TINA),16,750ml,딸기(국내산),추성고을,16000,친구,,,5,
407,산내울 오미자주,16,750ml,"오미자, 설탕, 주정, 정제수, 과당",,16000,혼자,,,5,
408,주몽복분자주,16,375ml,"국내산 쌀, 국내산 복분자",농업회사법인(유)술소리,16000,혼자,,,5,
409,신선주,16,750ml,"쌀, 능금, 신선초, 천궁, 구기자, 당귀솔잎, 대추, 인삼",용두산조은술,16000,혼자,,,5,
410,설련주,16,750ml,"백련, 찹쌀, 멥쌀, 누룩",영농조합법인 석전상온전통주가,16000,혼자,,,5,
411,서주 16%,16,400ml,"백미(국내산), 감자(국내산), 누룩, 효모, 정제수",오대서주양조,16000,혼자,,,5,
412,경주교동법주,16,900ml,찹쌀(국내산),교동법주,16000,혼자,,,5,
413,김천과하주 16%,16,700ml,국내산 찹쌀,김천과하주,16000,혼자,,,5,
414,해남진양주,16,375ml,국내산 찹쌀(해남),해남진양주,16000,혼자,,,5,
415,모월 청,16,500ml,"쌀(국내산), 누룩, 정제수",모월,16000,혼자,,,5,
416,내장산 복분자주 지통1호,16,700ml,"복분자, 주정, 정제수, 설탕 등",내장산 복분자 영농조합,16000,혼자,,,5,
417,원조소곡주,16,720ml,"찹쌀(36%), 누룩(3%)",원조소곡주,16000,혼자,,,5,
418,천비향 오양주 약주,16,500ml,"국내산 쌀, 누룩",좋은술,16000,혼자,,,5,
419,청진주,16,375ml,"찹쌀, 누룩, 정제수",전통주연구개발원,16000,혼자,,,5,
420,오메기 맑은술,16,500ml,"좁쌀, 햅쌀, 정제수, 누룩",제주고소리술익는집,16000,혼자,,,5,
421,청양둔송구기주,16,700ml,"쌀, 누룩, 구기자, 감초, 두충껍질",청양둔송구기주,16000,혼자,,,5,
422,예담은 한산소곡주,16,750ml,"찹쌀, 멥쌀, 누룩, 대두, 구절초",한산예담은소곡주,16000,혼자,,,5,
423,무주구천동산머루주,16,"750ml, 360ml",머루,,16000,혼자,,,5,
424,선운산 복분자주,16,375ml,"복분자(고창산), 과당, 구연산, 아스파탐, 무수아황산",(주)선운산복분자주 흥진,16000,혼자,,,5,
425,복분자주 360,16,360ml,"복분자, 주정, 정제수, 설탕 등",내장산 복분자 영농조합,16000,혼자,,,5,
426,명가원 복분자술,16,750ml,"복분자(37.65%), 주정, 정제수, 구연산, 호박산, 정제식염, 액상과당, 효모, 설탕",명가원,16000,혼자,,,5,
427,대관령 복분자주,16,400ml,국내산 복분자,홍지원,16000,혼자,,,5,
428,경산대추약주 추,16,375ml,"찹쌀, 맵쌀 , 누룩, 대추 (국내산100%)",미송주가,16000,혼자,,,5,
429,장수 오미자주,16.5,360ml,"오미자(국내산), 정제수, 주정, 설탕, 효모",알에프,16500,혼자,,,5,
430,밤빛머루,16.9,360ml,무주 머루,농업회사법인 산들벗(주),16900,혼자,,,5,
431,느린마을 증류주,16.9,360ml,쌀(국내산),배상면주가,16900,혼자,,,5,
432,하향주,17,750ml,찹쌀,하향주가,17000,혼자,,,5,
433,지란지교,17,500ml,"찹쌀,멥쌀,전통누룩(밀),정제수",(유)친구들의 술 지란지교,17000,혼자,,,5,
434,아황주,17,500ml,"찹쌀, 멥쌀, 누룩, 정제수",최행숙전통주가,17000,혼자,,,5,
435,청명주 750,17,750ml,"찹쌀,누룩,소맥분",중원당,17000,혼자,,,5,
436,동몽,17,500ml,"홍천 쌀, 정제수, 단호박, 국(밀 누룩)",예술주조,17000,혼자,,,5,
437,안동소주 일품 17도,17,350ml,"국내산 쌀, 입국",안동소주일품,17000,혼자,,,5,
438,명랑 스컬,17,375ml,"매실증류주원액, 벌꿀, 포도당, 노간주나무열매, 정제수",더한주류,17000,혼자,,,5,
439,별바랑,17.5,375ml,"국내산 찹쌀, 국내산 멥쌀, 누룩, 정제수",금계당,17500,혼자,,,5,
440,자연송이주,18,720ml,자연송이버섯,솔래원,18000,혼자,,,5,
441,이상헌 약주,18,500ml,"아산쌀, 국(국내산 밀누룩), 정제수",이가수불,18000,혼자,,,5,
442,토박이 한산소곡주,16,"700ml, 1800ml","찹쌀, 국내산 멥쌀",한산소곡주,18000,혼자,,,5,
443,청세주,18,375ml,국내산 쌀,병영주조장,18000,혼자,,,5,
444,노미,18,700ml,"국내산 찹쌀, 국내산 쌀",,18000,혼자,,,5,
445,면천두견주 900,18,900ml,"국내산 찹쌀, 누룩, 진달래꽃",면천두견주,18000,혼자,,,5,
446,면천두견주 700,18,700ml,"국내산 찹쌀, 누룩, 진달래꽃",면천두견주,18000,혼자,,,5,
447,면천두견주 360,18,360ml,"국내산 찹쌀, 누룩, 진달래꽃",면천두견주,18000,혼자,,,5,
448,사시통음주,18,550ml,"쌀, 누룩, 밀가루",국순당,18000,혼자,,,5,
449,면천두견주,18,"360ml, 700ml","국내산 찹쌀, 누룩, 국내산 진달래꽃",㈜면천두견주,18000,혼자,,,5,
450,남산애 포트와인,18.5,750ml,"포도(캠벨얼리, MBA, 산머루)",예인화원,18500,혼자,,,5,
451,해방주,18.8,375ml,해방풍연한잎(국내산),농업회사법인영덕주조,18800,혼자,,,5,
452,모리,19,375ml,"정제수, 보리증류원액",강산명주,19000,혼자,,,5,
453,술샘19,19,375ml,"주정, 증류식소주, 정백당, 생강, 강황(국내산)",술샘,19000,혼자,,,5,
454,선운산 복분자주 프리미엄,19,700ml,"복분자(고창산), 과당, 구연산, 아스파탐, 무수아황산",(주)선운산복분자주 흥진,19000,혼자,,,5,
455,느낌 19.8,19.8,360ml,"국내산 백미, 누룩, 효모, 정제수",명품 안동소주,19800,혼자,,,5,
456,동강더덕주,20,360ml,"더덕, 대추구기자, 감초, 원지",영월더덕영농조합법인,20000,혼자,,,5,
457,호담 300ml,20,300ml,"산양산삼, 정제수, 주정",대농바이오우리산삼,20000,혼자,,,5,
458,산삼가득 명술,20,375ml,"국내산 주정, 국내산 산양산삼 5년근",대농바이오우리산삼,20000,혼자,,,5,
459,원매 프리미엄,20,700ml,국내산 황매실,더한주류,20000,혼자,,,5,
460,경성과하주,20,375ml,"국내산 찹쌀, 국내산 누룩, 증류원액",,20000,혼자,,,5,
461,원매 프리미엄,20,700ml,매실,더한주류,20000,혼자,,,5,
462,원매,20,750ml,"매실원주액, 매실청, 꿀, 카라멜, 효소처리스테비아, 정제수",더한주류,20000,혼자,,,5,
463,계룡산 산삼주 금수강산 21%,21,740ml,"산양산삼, 정제수, 주정",한국산삼,21000,혼자,,,5,
464,느린마을소주21,21,375ml,"쌀, 정제수, 입국, 조효소제, 건조효모",배상면주가,21000,혼자,,,5,
465,안동소주 일품 21도,21,350ml,"국내산 쌀, 입국",안동소주일품,21000,혼자,,,5,
466,진맥소주 22%,22,375ml,유기농 우리밀 100%,농업회사법인 (주)밀과노닐다,22000,혼자,,,5,
467,명인 안동소주 22%,22,360ml,"쌀(국내산), 누룩, 정제수",명인안동소주,22000,혼자,,,5,
468,연천 우주,22,360ml,"쌀(국내산), 누룩, 효모, 효소, 연천율무, 정제수",농업회사법인 연천양조(주),22000,웃어른,,,5,
469,혼,22,375ml,문경사과(국내산),오미나라,22000,웃어른,,,5,
470,과하주23,23,"400ml, 700ml, 1000ml",쌀 100%,김천과하주,23000,웃어른,,,5,
471,감이슬,23,375ml,국내산 감,양촌감영농조합법인,23000,웃어른,,,5,
472,대장부23,23,375ml,"정제수, 쌀, 효모, 종국, 보리",롯데칠성음료,23000,웃어른,,,5,
473,예천주 사월24,24,375ml,"오미자(국내산)증류원액, 건오미자(국내산)추출액, 정제수",농업회사법인(주)착한농부,24000,웃어른,,,5,
474,미상25,25,350ml,"감귤(제주산)증류주원액, 정제수, 스테비올배당제",시트러스,25000,웃어른,,,5,
475,이강주 2호,25,750ml,"쌀, 소맥분, 정맥, 배, 생강, 계피, 울금, 꿀",전주 이강주,25000,웃어른,,,5,
476,진쾌남,25,330ml,"국내산 쌀, 밤, 누룩, 구기자, 오미자, 산수유, 오가피, 동충하초, 정제수",사곡양조장,25000,웃어른,,,5,
477,장수홍삼주,25,750ml,국내산 인삼,경원리큐르,25000,웃어른,,,5,
478,왕율주,25,330ml,"국내산 쌀, 밤, 누룩, 정제수",사곡양조원,25000,웃어른,,,5,
479,화주,25,375ml,"국내산 쌀, 홍삼농축액, 정제수",내국양조,25000,웃어른,,,5,
480,문배술 헤리티지 25도,25,375ml,"메조, 찰수수, 쌀",문배주양조원,25000,웃어른,,,5,
481,추성주,25,350ml,"국내산 쌀, 국내산 한약재",추성고을,25000,웃어른,,,5,
482,담양 죽력고,25,350ml,"정제수, 국내산 쌀, 누룩, 죽력, 계피, 석창포, 생강, 효모",추성고을,25000,웃어른,,,5,
483,귀감,25,350ml,"제주산 감귤과즙, 백설탕, 액상효모, 스테비올배당체, 무수아황산",시트러스,25000,웃어른,,,5,
484,겨울소주 25,25,360ml,"국내산 쌀, 증류원액, 효모, 효소, 정제수",두이술공방,25000,웃어른,,,5,
485,감아락 25,25,500ml,"국내산 쌀, 감증류원액",배상면주가,25000,웃어른,,,5,
486,백제한산군주,25,250ml,"찹쌀, 물, 멥쌀, 주정, 효모, 홍고추, 구절초, 과당, 소금, 스테비아",㈜백제명가주조,25000,웃어른,,,5,
487,문경바람 백자 25,25,750ml,사과,제이엘,25000,웃어른,,,5,
488,필,25,375ml,고구마증류원액(여주산 100%),술아원,25000,웃어른,,,5,
489,려,25,"375ml, 500ml","고구마(여주산 100%), 쌀(여주산 100%)",국순당,25000,웃어른,,,5,
490,모월 로,25,500ml,"쌀(국내산), 누룩, 정제수",,25000,웃어른,,,5,
491,모월로미니,25,150ml,"쌀(국내산), 누룩, 정제수",,25000,웃어른,,,5,
492,설궁,30,700ml,"자연산 송이버섯, 산양산삼, 토종벌꿀",솔래원,30000,웃어른,,,5,
493,톡 한잔 소주,30,500ml,"국내산 보리, 쌀",(농)(유)대마주조,30000,웃어른,,,5,
494,느낌 30,30,360ml,"국내산 백미, 누룩, 효모, 정제수",명품 안동소주,30000,웃어른,,,5,
495,천매,30,600ml,매실,더한주류,30000,웃어른,,,5,
496,죽력고,32,700ml,"국내산쌀, 죽력, 누룩, 정제수",태인합동주조장,32000,웃어른,,,5,
497,두레앙 브랜디,35,750ml,거봉포도원액,두레양조,35000,웃어른,,,5,
498,한비 유자술,35,750ml,"쌀(국내산), 유자(국내산)",제천한약(영),35000,웃어른,,,5,
499,한비 무병장수술,35,"375ml, 750ml","국내산쌀, 흑삼, 인삼, 오가피, 오미자, 구기자, 복분자, 차전자, 토사자, 산수유",제천한약(영),35000,웃어른,,,5,
500,한비 동충하초술,35,"375ml, 750ml","국내산 쌀, 누룩, 가시오가피 뿌리, 동충하초, 정제수",제천한약(영),35000,웃어른,,,5,
501,한비오가피술골드,35,500ml,"국내산 쌀, 국내산 오가피",제천한약(영),35000,웃어른,,,5,
502,한주,35,360ml,"국내산 쌀, 밀누룩, 정제수",한주양조,35000,웃어른,,,5,
503,한비 오가피술,35,"375ml, 750ml","국내산 쌀, 누룩, 가시오가피 뿌리, 정제수",제천한약영농조합법인,35000,웃어른,,,5,
504,두레앙증류주,35,750ml,거봉포도,두레양조,35000,웃어른,,,5,
505,금휘,35,500ml,"국내산 쌀, 황기, 금나노화된 황금물",용두산조은술(영),35000,웃어른,,,5,
506,두레앙,35,750ml,국내산 포도,두레양조,35000,웃어른,,,5,
507,백이주,35,800ml,"쌀(국산), 홍마늘액(국산), 감초(국산), 개량누룩(국산), 효모, 정제효소제, 정제수, 밀함유",농업회사법인(주)세찬,35000,웃어른,,,5,
508,예천주 사월365,36.5,375ml,"오미자(국내산)증류원액, 건오미자(국내산)추출액, 정제수",농업회사법인(주)착한농부,36500,웃어른,,,5,
509,송화백일주,38,700ml,"송화, 솔잎, 산수유, 오미자, 구기자",송화양조원,38000,웃어른,,,5,
510,명품홍주,38,375ml,"쌀, 지초",대대로영농조합법인,38000,웃어른,,,5,
511,남한산성소주,40,400ml,"쌀, 엿, 누룩",남한산성소주,40000,웃어른,,,5,
512,"진도홍주, 만홍",40,"400ml, 500ml","국내산 쌀, 국내산 지초",대대로영농조합법인,40000,웃어른,,,5,
513,문배술,40,"500ml, 1000ml","국내산 찰수수, 국내산 메조",문배주양조원,40000,웃어른,,,5,
514,천지향 증류주,40,500ml,국내산 복분자,함평천지복분자(영),40000,웃어른,,,5,
515,감홍로,40,400ml,국내산 쌀,감홍로,40000,웃어른,,,5,
516,의림소주,40,700ml,국내산 쌀,제천한약(영),40000,웃어른,,,5,
517,진도홍주 루비콘,40,375ml,"쌀, 누룩, 지초, 정제수",대대로영농조합법인,40000,웃어른,,,5,
518,금과 명주,40,750ml,"사과증류주, 고과당, 사과향, 카라멜",㈜한국애플리즈,40000,웃어른,,,5,
519,예천주복 만월40,40,350ml,"복분자증류원액, 복분자과즙, 정제수",착한농부,40000,웃어른,,,5,
520,진맥 소주,40,200ml,통밀 소주원액,맹개술도가,40000,웃어른,,,5,
521,제주낭만,40,500ml,"쌀, 백도라지",술도가제주바당,40000,웃어른,,,5,
522,키위술,40,500ml,"그린키위, 골드키위",술도가제주바당,40000,웃어른,,,5,
523,담솔,40,"500ml, 750ml","백미(함양산) 90%, 솔잎·송순(함양산) 10%",솔송주(명가원),40000,웃어른,,,5,
524,오매락퍽,40,500ml,국내산 배증류원액,배상면주가,40000,웃어른,,,5,
525,천비향 화주,40,375ml,"국내산 쌀, 누룩",좋은술,40000,웃어른,,,5,
526,계룡산 산삼주 금수강산 40%,40,740ml,"산양산삼, 정제수, 주정",한국산삼,40000,웃어른,,,5,
527,한비 쌀소주,40,"375ml, 750ml","국내산 쌀, 누룩, 정제수",제천한약영농조합법인,40000,웃어른,,,5,
528,문경바람 오크,40,"750ml, 375ml",사과(문경),오미나라,40000,웃어른,,,5,
529,추사40,40,500ml,사과,예산사과와인,40000,웃어른,,,5,
530,징기스칸,40,375ml,레드와인,고도리 와이너리,40000,웃어른,,,5,
531,로아40 옐로우,40,350ml,"쌀(국산), 배(국산)",배혜정도가,40000,웃어른,,,5,
532,오매락,40,500ml,"배를 증류한 원액, 정제수, 설탕, 매실, 오매(구운 매실)",배상면주가,40000,웃어른,,,5,
533,제주술익는집 고소리술,40,400ml,"잡곡, 누룩, 정제수",제주고소리술익는집,40000,웃어른,,,5,
534,문배술 헤리티지 40도,40,200ml,"메조, 찰수수, 쌀",문배주양조원,40000,웃어른,,,5,
535,계룡백일주 40%,40,600ml,"찹쌀, 백미, 누룩, 재래종국화꽃, 오미자, 진달래, 재래종 솔잎",계룡백일주,40000,웃어른,,,5,
536,감홍로 백자,40,"400ml, 700ml","쌀(70%), 메조(30%), 용안육, 진피, 생강, 정향, 감초, 지초",감홍로,40000,웃어른,,,5,
537,타미앙스,40,500ml,"국내산 쌀, 국내산 한약재",추성고을,40000,웃어른,,,5,
538,막시모 40,40,500ml,"국내산 오미자 증류원액, 국내산 오미자 원액, 정제수",착한농부,40000,웃어른,,,5,
539,고구마 아락,40,500ml,"정제수, 고구마, 보리",배상면주가,40000,웃어른,,,5,
540,예천주복 만월24,40,350ml,"복분자(국내산)증류원액, 복분자(국내산)과즙, 정제수",농업회사법인(주)착한농부,40000,웃어른,,,5,
541,안동소주 일품 40도 골드,40,500ml,"국내산 쌀, 입국",안동소주일품,40000,웃어른,,,5,
542,설레온,40,375ml,"쌀, 누룩, 효모, 정제수",농업회사법인 대윤가야곡주조(주),40000,웃어른,,,5,
543,샤토미소 영동,40,200ml,포도,도란원,40000,웃어른,,,5,
544,병영소주,40,700ml,"정제수, 보리증류식 소주원액(보리: 국내산)",병영양조장,40000,웃어른,,,5,
545,문경바람 백자 40,40,750ml,사과,제이엘,40000,웃어른,,,5,
546,배도가 로아 40도 옐로우,40,350ml,"국내산 쌀, 국내산 배",배혜정도가,40000,웃어른,,,5,
547,메밀이슬,40,500ml,"메밀(제주산), 입국(국내산), 효모, 정제수",술도가제주바당,40000,웃어른,,,5,
548,로아40 레드,40,350ml,사과소주원액,배혜정도가,40000,웃어른,,,5,
549,복분자아락40,40,500ml,복분자 증류원액,배상면주가,40000,웃어른,,,5,
550,오디아락40,40,500ml,오디증류주원액,배상면주가,40000,웃어른,,,5,
551,녹천 소곡화주 500ml,41,500ml,"찹쌀, 누룩, 백미, 정제수",녹천주조장,41000,웃어른,,,5,
